iter	Passed	Remaining
943	5662	335
944	5665	329
945	5668	323
946	5671	317
947	5675	311
948	5678	305
949	5680	298
950	5683	292
951	5686	286
952	5689	280
953	5692	274
954	5696	268
955	5699	262
956	5702	256
957	5708	250
958	5711	244
959	5714	238
960	5717	232
961	5721	225
962	5725	219
963	5728	213
964	5732	207
965	5736	201
966	5739	195
967	5742	189
968	5747	183
969	5751	177
970	5754	171
971	5757	165
972	5761	159
973	5764	153
974	5768	147
975	5771	141
976	5775	135
977	5778	129
978	5782	124
979	5785	118
980	5789	112
981	5792	106
982	5795	100
983	5799	94
984	5802	88
985	5805	82
986	5808	76
987	5811	70
988	5815	64
989	5818	58
990	5821	52
991	5824	46
992	5826	41
993	5828	35
994	5833	29
995	5836	23
996	5838	17
997	5842	11
998	5846	5
999	5850	0
